County,Sex,Year,Statistic,Value
All counties (1),Both sexes,2011,Mean Annual Earnings (Euro),39721
All counties (1),Both sexes,2011,Median Annual Earnings (Euro),33300
All counties (1),Both sexes,2012,Mean Annual Earnings (Euro),39792
All counties (1),Both sexes,2012,Median Annual Earnings (Euro),33192
All counties (1),Both sexes,2013,Mean Annual Earnings (Euro),40015
All counties (1),Both sexes,2013,Median Annual Earnings (Euro),33414
All counties (1),Both sexes,2014,Mean Annual Earnings (Euro),40437
All counties (1),Both sexes,2014,Median Annual Earnings (Euro),33694
All counties (1),Both sexes,2015,Mean Annual Earnings (Euro),41130
All counties (1),Both sexes,2015,Median Annual Earnings (Euro),33999
All counties (1),Both sexes,2016,Mean Annual Earnings (Euro),41627
All counties (1),Both sexes,2016,Median Annual Earnings (Euro),34236
All counties (1),Both sexes,2017,Mean Annual Earnings (Euro),42666
All counties (1),Both sexes,2017,Median Annual Earnings (Euro),34973
All counties (1),Both sexes,2018,Mean Annual Earnings (Euro),44180
All counties (1),Both sexes,2018,Median Annual Earnings (Euro),36095
All counties (1),Male,2011,Mean Annual Earnings (Euro),45964
All counties (1),Male,2011,Median Annual Earnings (Euro),37656
All counties (1),Male,2012,Mean Annual Earnings (Euro),45850
All counties (1),Male,2012,Median Annual Earnings (Euro),37217
All counties (1),Male,2013,Mean Annual Earnings (Euro),45929
All counties (1),Male,2013,Median Annual Earnings (Euro),37262
All counties (1),Male,2014,Mean Annual Earnings (Euro),46405
All counties (1),Male,2014,Median Annual Earnings (Euro),37412
All counties (1),Male,2015,Mean Annual Earnings (Euro),47107
All counties (1),Male,2015,Median Annual Earnings (Euro),37452
All counties (1),Male,2016,Mean Annual Earnings (Euro),47607
All counties (1),Male,2016,Median Annual Earnings (Euro),37739
All counties (1),Male,2017,Mean Annual Earnings (Euro),48694
All counties (1),Male,2017,Median Annual Earnings (Euro),38331
All counties (1),Male,2018,Mean Annual Earnings (Euro),50430
All counties (1),Male,2018,Median Annual Earnings (Euro),39658
All counties (1),Female,2011,Mean Annual Earnings (Euro),33819
All counties (1),Female,2011,Median Annual Earnings (Euro),29293
All counties (1),Female,2012,Mean Annual Earnings (Euro),34036
All counties (1),Female,2012,Median Annual Earnings (Euro),29457
All counties (1),Female,2013,Mean Annual Earnings (Euro),34331
All counties (1),Female,2013,Median Annual Earnings (Euro),29827
All counties (1),Female,2014,Mean Annual Earnings (Euro),34596
All counties (1),Female,2014,Median Annual Earnings (Euro),30096
All counties (1),Female,2015,Mean Annual Earnings (Euro),35212
All counties (1),Female,2015,Median Annual Earnings (Euro),30499
All counties (1),Female,2016,Mean Annual Earnings (Euro),35605
All counties (1),Female,2016,Median Annual Earnings (Euro),30789
All counties (1),Female,2017,Mean Annual Earnings (Euro),36508
All counties (1),Female,2017,Median Annual Earnings (Euro),31386
All counties (1),Female,2018,Mean Annual Earnings (Euro),37750
All counties (1),Female,2018,Median Annual Earnings (Euro),32264
Carlow,Both sexes,2011,Mean Annual Earnings (Euro),34974
Carlow,Both sexes,2011,Median Annual Earnings (Euro),30719
Carlow,Both sexes,2012,Mean Annual Earnings (Euro),34715
Carlow,Both sexes,2012,Median Annual Earnings (Euro),30423
Carlow,Both sexes,2013,Mean Annual Earnings (Euro),35227
Carlow,Both sexes,2013,Median Annual Earnings (Euro),31016
Carlow,Both sexes,2014,Mean Annual Earnings (Euro),35320
Carlow,Both sexes,2014,Median Annual Earnings (Euro),31026
Carlow,Both sexes,2015,Mean Annual Earnings (Euro),35764
Carlow,Both sexes,2015,Median Annual Earnings (Euro),31118
Carlow,Both sexes,2016,Mean Annual Earnings (Euro),35720
Carlow,Both sexes,2016,Median Annual Earnings (Euro),31199
Carlow,Both sexes,2017,Mean Annual Earnings (Euro),36494
Carlow,Both sexes,2017,Median Annual Earnings (Euro),31737
Carlow,Both sexes,2018,Mean Annual Earnings (Euro),37589
Carlow,Both sexes,2018,Median Annual Earnings (Euro),32751
Carlow,Male,2011,Mean Annual Earnings (Euro),38919
Carlow,Male,2011,Median Annual Earnings (Euro),33500
Carlow,Male,2012,Mean Annual Earnings (Euro),38150
Carlow,Male,2012,Median Annual Earnings (Euro),32663
Carlow,Male,2013,Mean Annual Earnings (Euro),39023
Carlow,Male,2013,Median Annual Earnings (Euro),33301
Carlow,Male,2014,Mean Annual Earnings (Euro),38969
Carlow,Male,2014,Median Annual Earnings (Euro),33086
Carlow,Male,2015,Mean Annual Earnings (Euro),39477
Carlow,Male,2015,Median Annual Earnings (Euro),33000
Carlow,Male,2016,Mean Annual Earnings (Euro),39678
Carlow,Male,2016,Median Annual Earnings (Euro),33475
Carlow,Male,2017,Mean Annual Earnings (Euro),40553
Carlow,Male,2017,Median Annual Earnings (Euro),34174
Carlow,Male,2018,Mean Annual Earnings (Euro),41680
Carlow,Male,2018,Median Annual Earnings (Euro),35065
Carlow,Female,2011,Mean Annual Earnings (Euro),31179
Carlow,Female,2011,Median Annual Earnings (Euro),27299
Carlow,Female,2012,Mean Annual Earnings (Euro),31326
Carlow,Female,2012,Median Annual Earnings (Euro),27413
Carlow,Female,2013,Mean Annual Earnings (Euro),31483
Carlow,Female,2013,Median Annual Earnings (Euro),27830
Carlow,Female,2014,Mean Annual Earnings (Euro),31646
Carlow,Female,2014,Median Annual Earnings (Euro),28208
Carlow,Female,2015,Mean Annual Earnings (Euro),31906
Carlow,Female,2015,Median Annual Earnings (Euro),28302
Carlow,Female,2016,Mean Annual Earnings (Euro),31496
Carlow,Female,2016,Median Annual Earnings (Euro),27699
Carlow,Female,2017,Mean Annual Earnings (Euro),32049
Carlow,Female,2017,Median Annual Earnings (Euro),28000
Carlow,Female,2018,Mean Annual Earnings (Euro),33100
Carlow,Female,2018,Median Annual Earnings (Euro),28766
Dublin,Both sexes,2011,Mean Annual Earnings (Euro),44326
Dublin,Both sexes,2011,Median Annual Earnings (Euro),35915
Dublin,Both sexes,2012,Mean Annual Earnings (Euro),44414
Dublin,Both sexes,2012,Median Annual Earnings (Euro),35775
Dublin,Both sexes,2013,Mean Annual Earnings (Euro),44764
Dublin,Both sexes,2013,Median Annual Earnings (Euro),35930
Dublin,Both sexes,2014,Mean Annual Earnings (Euro),45299
Dublin,Both sexes,2014,Median Annual Earnings (Euro),36129
Dublin,Both sexes,2015,Mean Annual Earnings (Euro),46268
Dublin,Both sexes,2015,Median Annual Earnings (Euro),36416
Dublin,Both sexes,2016,Mean Annual Earnings (Euro),47216
Dublin,Both sexes,2016,Median Annual Earnings (Euro),37084
Dublin,Both sexes,2017,Mean Annual Earnings (Euro),48771
Dublin,Both sexes,2017,Median Annual Earnings (Euro),38067
Dublin,Both sexes,2018,Mean Annual Earnings (Euro),50801
Dublin,Both sexes,2018,Median Annual Earnings (Euro),39408
Dublin,Male,2011,Mean Annual Earnings (Euro),51352
Dublin,Male,2011,Median Annual Earnings (Euro),40248
Dublin,Male,2012,Mean Annual Earnings (Euro),51167
Dublin,Male,2012,Median Annual Earnings (Euro),39863
Dublin,Male,2013,Mean Annual Earnings (Euro),51443
Dublin,Male,2013,Median Annual Earnings (Euro),39999
Dublin,Male,2014,Mean Annual Earnings (Euro),52056
Dublin,Male,2014,Median Annual Earnings (Euro),40230
Dublin,Male,2015,Mean Annual Earnings (Euro),53167
Dublin,Male,2015,Median Annual Earnings (Euro),40291
Dublin,Male,2016,Mean Annual Earnings (Euro),53955
Dublin,Male,2016,Median Annual Earnings (Euro),41006
Dublin,Male,2017,Mean Annual Earnings (Euro),55685
Dublin,Male,2017,Median Annual Earnings (Euro),42086
Dublin,Male,2018,Mean Annual Earnings (Euro),58106
Dublin,Male,2018,Median Annual Earnings (Euro),43719
Dublin,Female,2011,Mean Annual Earnings (Euro),37311
Dublin,Female,2011,Median Annual Earnings (Euro),31784
Dublin,Female,2012,Mean Annual Earnings (Euro),37648
Dublin,Female,2012,Median Annual Earnings (Euro),31965
Dublin,Female,2013,Mean Annual Earnings (Euro),37996
Dublin,Female,2013,Median Annual Earnings (Euro),32198
Dublin,Female,2014,Mean Annual Earnings (Euro),38339
Dublin,Female,2014,Median Annual Earnings (Euro),32433
Dublin,Female,2015,Mean Annual Earnings (Euro),39090
Dublin,Female,2015,Median Annual Earnings (Euro),32752
Dublin,Female,2016,Mean Annual Earnings (Euro),40203
Dublin,Female,2016,Median Annual Earnings (Euro),33626
Dublin,Female,2017,Mean Annual Earnings (Euro),41506
Dublin,Female,2017,Median Annual Earnings (Euro),34534
Dublin,Female,2018,Mean Annual Earnings (Euro),43067
Dublin,Female,2018,Median Annual Earnings (Euro),35535
Kildare,Both sexes,2011,Mean Annual Earnings (Euro),42137
Kildare,Both sexes,2011,Median Annual Earnings (Euro),35795
Kildare,Both sexes,2012,Mean Annual Earnings (Euro),41991
Kildare,Both sexes,2012,Median Annual Earnings (Euro),35416
Kildare,Both sexes,2013,Mean Annual Earnings (Euro),42146
Kildare,Both sexes,2013,Median Annual Earnings (Euro),35676
Kildare,Both sexes,2014,Mean Annual Earnings (Euro),42561
Kildare,Both sexes,2014,Median Annual Earnings (Euro),35753
Kildare,Both sexes,2015,Mean Annual Earnings (Euro),43571
Kildare,Both sexes,2015,Median Annual Earnings (Euro),36243
Kildare,Both sexes,2016,Mean Annual Earnings (Euro),44395
Kildare,Both sexes,2016,Median Annual Earnings (Euro),36527
Kildare,Both sexes,2017,Mean Annual Earnings (Euro),45623
Kildare,Both sexes,2017,Median Annual Earnings (Euro),37502
Kildare,Both sexes,2018,Mean Annual Earnings (Euro),47044
Kildare,Both sexes,2018,Median Annual Earnings (Euro),38673
Kildare,Male,2011,Mean Annual Earnings (Euro),49313
Kildare,Male,2011,Median Annual Earnings (Euro),41077
Kildare,Male,2012,Mean Annual Earnings (Euro),48900
Kildare,Male,2012,Median Annual Earnings (Euro),40106
Kildare,Male,2013,Mean Annual Earnings (Euro),48883
Kildare,Male,2013,Median Annual Earnings (Euro),40327
Kildare,Male,2014,Mean Annual Earnings (Euro),49276
Kildare,Male,2014,Median Annual Earnings (Euro),40152
Kildare,Male,2015,Mean Annual Earnings (Euro),50352
Kildare,Male,2015,Median Annual Earnings (Euro),40609
Kildare,Male,2016,Mean Annual Earnings (Euro),51500
Kildare,Male,2016,Median Annual Earnings (Euro),41189
Kildare,Male,2017,Mean Annual Earnings (Euro),52807
Kildare,Male,2017,Median Annual Earnings (Euro),41902
Kildare,Male,2018,Mean Annual Earnings (Euro),54408
Kildare,Male,2018,Median Annual Earnings (Euro),43320
Kildare,Female,2011,Mean Annual Earnings (Euro),34690
Kildare,Female,2011,Median Annual Earnings (Euro),30438
Kildare,Female,2012,Mean Annual Earnings (Euro),34776
Kildare,Female,2012,Median Annual Earnings (Euro),30448
Kildare,Female,2013,Mean Annual Earnings (Euro),35107
Kildare,Female,2013,Median Annual Earnings (Euro),30799
Kildare,Female,2014,Mean Annual Earnings (Euro),35378
Kildare,Female,2014,Median Annual Earnings (Euro),31075
Kildare,Female,2015,Mean Annual Earnings (Euro),36263
Kildare,Female,2015,Median Annual Earnings (Euro),31786
Kildare,Female,2016,Mean Annual Earnings (Euro),36659
Kildare,Female,2016,Median Annual Earnings (Euro),32036
Kildare,Female,2017,Mean Annual Earnings (Euro),37735
Kildare,Female,2017,Median Annual Earnings (Euro),32898
Kildare,Female,2018,Mean Annual Earnings (Euro),39001
Kildare,Female,2018,Median Annual Earnings (Euro),33666
Kilkenny,Both sexes,2011,Mean Annual Earnings (Euro),36946
Kilkenny,Both sexes,2011,Median Annual Earnings (Euro),32098
Kilkenny,Both sexes,2012,Mean Annual Earnings (Euro),37054
Kilkenny,Both sexes,2012,Median Annual Earnings (Euro),32101
Kilkenny,Both sexes,2013,Mean Annual Earnings (Euro),37114
Kilkenny,Both sexes,2013,Median Annual Earnings (Euro),32225
Kilkenny,Both sexes,2014,Mean Annual Earnings (Euro),37357
Kilkenny,Both sexes,2014,Median Annual Earnings (Euro),32696
Kilkenny,Both sexes,2015,Mean Annual Earnings (Euro),37594
Kilkenny,Both sexes,2015,Median Annual Earnings (Euro),32727
Kilkenny,Both sexes,2016,Mean Annual Earnings (Euro),37756
Kilkenny,Both sexes,2016,Median Annual Earnings (Euro),32639
Kilkenny,Both sexes,2017,Mean Annual Earnings (Euro),38618
Kilkenny,Both sexes,2017,Median Annual Earnings (Euro),33480
Kilkenny,Both sexes,2018,Mean Annual Earnings (Euro),40080
Kilkenny,Both sexes,2018,Median Annual Earnings (Euro),34887
Kilkenny,Male,2011,Mean Annual Earnings (Euro),42632
Kilkenny,Male,2011,Median Annual Earnings (Euro),36520
Kilkenny,Male,2012,Mean Annual Earnings (Euro),42555
Kilkenny,Male,2012,Median Annual Earnings (Euro),36180
Kilkenny,Male,2013,Mean Annual Earnings (Euro),42491
Kilkenny,Male,2013,Median Annual Earnings (Euro),35969
Kilkenny,Male,2014,Mean Annual Earnings (Euro),42542
Kilkenny,Male,2014,Median Annual Earnings (Euro),35813
Kilkenny,Male,2015,Mean Annual Earnings (Euro),42603
Kilkenny,Male,2015,Median Annual Earnings (Euro),35461
Kilkenny,Male,2016,Mean Annual Earnings (Euro),42682
Kilkenny,Male,2016,Median Annual Earnings (Euro),35408
Kilkenny,Male,2017,Mean Annual Earnings (Euro),43500
Kilkenny,Male,2017,Median Annual Earnings (Euro),36150
Kilkenny,Male,2018,Mean Annual Earnings (Euro),44895
Kilkenny,Male,2018,Median Annual Earnings (Euro),37582
Kilkenny,Female,2011,Mean Annual Earnings (Euro),32282
Kilkenny,Female,2011,Median Annual Earnings (Euro),28779
Kilkenny,Female,2012,Mean Annual Earnings (Euro),32475
Kilkenny,Female,2012,Median Annual Earnings (Euro),29014
Kilkenny,Female,2013,Mean Annual Earnings (Euro),32723
Kilkenny,Female,2013,Median Annual Earnings (Euro),29279
Kilkenny,Female,2014,Mean Annual Earnings (Euro),32940
Kilkenny,Female,2014,Median Annual Earnings (Euro),29855
Kilkenny,Female,2015,Mean Annual Earnings (Euro),33220
Kilkenny,Female,2015,Median Annual Earnings (Euro),29977
Kilkenny,Female,2016,Mean Annual Earnings (Euro),33267
Kilkenny,Female,2016,Median Annual Earnings (Euro),29891
Kilkenny,Female,2017,Mean Annual Earnings (Euro),34066
Kilkenny,Female,2017,Median Annual Earnings (Euro),30832
Kilkenny,Female,2018,Mean Annual Earnings (Euro),35622
Kilkenny,Female,2018,Median Annual Earnings (Euro),32290
Laois,Both sexes,2011,Mean Annual Earnings (Euro),37313
Laois,Both sexes,2011,Median Annual Earnings (Euro),33592
Laois,Both sexes,2012,Mean Annual Earnings (Euro),36963
Laois,Both sexes,2012,Median Annual Earnings (Euro),33235
Laois,Both sexes,2013,Mean Annual Earnings (Euro),37224
Laois,Both sexes,2013,Median Annual Earnings (Euro),33582
Laois,Both sexes,2014,Mean Annual Earnings (Euro),37577
Laois,Both sexes,2014,Median Annual Earnings (Euro),33745
Laois,Both sexes,2015,Mean Annual Earnings (Euro),38023
Laois,Both sexes,2015,Median Annual Earnings (Euro),33789
Laois,Both sexes,2016,Mean Annual Earnings (Euro),38075
Laois,Both sexes,2016,Median Annual Earnings (Euro),33588
Laois,Both sexes,2017,Mean Annual Earnings (Euro),39108
Laois,Both sexes,2017,Median Annual Earnings (Euro),34343
Laois,Both sexes,2018,Mean Annual Earnings (Euro),40307
Laois,Both sexes,2018,Median Annual Earnings (Euro),35380
Laois,Male,2011,Mean Annual Earnings (Euro),42505
Laois,Male,2011,Median Annual Earnings (Euro),37778
Laois,Male,2012,Mean Annual Earnings (Euro),42099
Laois,Male,2012,Median Annual Earnings (Euro),37281
Laois,Male,2013,Mean Annual Earnings (Euro),42141
Laois,Male,2013,Median Annual Earnings (Euro),37145
Laois,Male,2014,Mean Annual Earnings (Euro),42612
Laois,Male,2014,Median Annual Earnings (Euro),37014
Laois,Male,2015,Mean Annual Earnings (Euro),42746
Laois,Male,2015,Median Annual Earnings (Euro),36919
Laois,Male,2016,Mean Annual Earnings (Euro),42946
Laois,Male,2016,Median Annual Earnings (Euro),36780
Laois,Male,2017,Mean Annual Earnings (Euro),44038
Laois,Male,2017,Median Annual Earnings (Euro),37155
Laois,Male,2018,Mean Annual Earnings (Euro),45263
Laois,Male,2018,Median Annual Earnings (Euro),38118
Laois,Female,2011,Mean Annual Earnings (Euro),32551
Laois,Female,2011,Median Annual Earnings (Euro),30040
Laois,Female,2012,Mean Annual Earnings (Euro),32280
Laois,Female,2012,Median Annual Earnings (Euro),29796
Laois,Female,2013,Mean Annual Earnings (Euro),32756
Laois,Female,2013,Median Annual Earnings (Euro),30202
Laois,Female,2014,Mean Annual Earnings (Euro),32834
Laois,Female,2014,Median Annual Earnings (Euro),30383
Laois,Female,2015,Mean Annual Earnings (Euro),33408
Laois,Female,2015,Median Annual Earnings (Euro),30809
Laois,Female,2016,Mean Annual Earnings (Euro),33257
Laois,Female,2016,Median Annual Earnings (Euro),30673
Laois,Female,2017,Mean Annual Earnings (Euro),34144
Laois,Female,2017,Median Annual Earnings (Euro),31051
Laois,Female,2018,Mean Annual Earnings (Euro),35207
Laois,Female,2018,Median Annual Earnings (Euro),32096
Longford,Both sexes,2011,Mean Annual Earnings (Euro),33632
Longford,Both sexes,2011,Median Annual Earnings (Euro),29409
Longford,Both sexes,2012,Mean Annual Earnings (Euro),33906
Longford,Both sexes,2012,Median Annual Earnings (Euro),29662
Longford,Both sexes,2013,Mean Annual Earnings (Euro),34489
Longford,Both sexes,2013,Median Annual Earnings (Euro),29999
Longford,Both sexes,2014,Mean Annual Earnings (Euro),34542
Longford,Both sexes,2014,Median Annual Earnings (Euro),30169
Longford,Both sexes,2015,Mean Annual Earnings (Euro),35206
Longford,Both sexes,2015,Median Annual Earnings (Euro),30638
Longford,Both sexes,2016,Mean Annual Earnings (Euro),34820
Longford,Both sexes,2016,Median Annual Earnings (Euro),30547
Longford,Both sexes,2017,Mean Annual Earnings (Euro),35187
Longford,Both sexes,2017,Median Annual Earnings (Euro),30736
Longford,Both sexes,2018,Mean Annual Earnings (Euro),36356
Longford,Both sexes,2018,Median Annual Earnings (Euro),31747
Longford,Male,2011,Mean Annual Earnings (Euro),37146
Longford,Male,2011,Median Annual Earnings (Euro),31881
Longford,Male,2012,Mean Annual Earnings (Euro),37199
Longford,Male,2012,Median Annual Earnings (Euro),31834
Longford,Male,2013,Mean Annual Earnings (Euro),37488
Longford,Male,2013,Median Annual Earnings (Euro),31873
Longford,Male,2014,Mean Annual Earnings (Euro),37754
Longford,Male,2014,Median Annual Earnings (Euro),32104
Longford,Male,2015,Mean Annual Earnings (Euro),38352
Longford,Male,2015,Median Annual Earnings (Euro),32486
Longford,Male,2016,Mean Annual Earnings (Euro),37860
Longford,Male,2016,Median Annual Earnings (Euro),32408
Longford,Male,2017,Mean Annual Earnings (Euro),38138
Longford,Male,2017,Median Annual Earnings (Euro),32412
Longford,Male,2018,Mean Annual Earnings (Euro),39403
Longford,Male,2018,Median Annual Earnings (Euro),33596
Longford,Female,2011,Mean Annual Earnings (Euro),30625
Longford,Female,2011,Median Annual Earnings (Euro),26725
Longford,Female,2012,Mean Annual Earnings (Euro),30969
Longford,Female,2012,Median Annual Earnings (Euro),27332
Longford,Female,2013,Mean Annual Earnings (Euro),31717
Longford,Female,2013,Median Annual Earnings (Euro),28180
Longford,Female,2014,Mean Annual Earnings (Euro),31550
Longford,Female,2014,Median Annual Earnings (Euro),27899
Longford,Female,2015,Mean Annual Earnings (Euro),32146
Longford,Female,2015,Median Annual Earnings (Euro),28531
Longford,Female,2016,Mean Annual Earnings (Euro),31665
Longford,Female,2016,Median Annual Earnings (Euro),28221
Longford,Female,2017,Mean Annual Earnings (Euro),32162
Longford,Female,2017,Median Annual Earnings (Euro),28614
Longford,Female,2018,Mean Annual Earnings (Euro),33181
Longford,Female,2018,Median Annual Earnings (Euro),29213
Louth,Both sexes,2011,Mean Annual Earnings (Euro),36288
Louth,Both sexes,2011,Median Annual Earnings (Euro),31174
Louth,Both sexes,2012,Mean Annual Earnings (Euro),35974
Louth,Both sexes,2012,Median Annual Earnings (Euro),30534
Louth,Both sexes,2013,Mean Annual Earnings (Euro),36537
Louth,Both sexes,2013,Median Annual Earnings (Euro),31242
Louth,Both sexes,2014,Mean Annual Earnings (Euro),36802
Louth,Both sexes,2014,Median Annual Earnings (Euro),31504
Louth,Both sexes,2015,Mean Annual Earnings (Euro),37343
Louth,Both sexes,2015,Median Annual Earnings (Euro),31839
Louth,Both sexes,2016,Mean Annual Earnings (Euro),37397
Louth,Both sexes,2016,Median Annual Earnings (Euro),31827
Louth,Both sexes,2017,Mean Annual Earnings (Euro),38113
Louth,Both sexes,2017,Median Annual Earnings (Euro),32509
Louth,Both sexes,2018,Mean Annual Earnings (Euro),39479
Louth,Both sexes,2018,Median Annual Earnings (Euro),33535
Louth,Male,2011,Mean Annual Earnings (Euro),41209
Louth,Male,2011,Median Annual Earnings (Euro),35395
Louth,Male,2012,Mean Annual Earnings (Euro),41113
Louth,Male,2012,Median Annual Earnings (Euro),34830
Louth,Male,2013,Mean Annual Earnings (Euro),41267
Louth,Male,2013,Median Annual Earnings (Euro),34859
Louth,Male,2014,Mean Annual Earnings (Euro),41577
Louth,Male,2014,Median Annual Earnings (Euro),34947
Louth,Male,2015,Mean Annual Earnings (Euro),42078
Louth,Male,2015,Median Annual Earnings (Euro),35014
Louth,Male,2016,Mean Annual Earnings (Euro),42084
Louth,Male,2016,Median Annual Earnings (Euro),34893
Louth,Male,2017,Mean Annual Earnings (Euro),42908
Louth,Male,2017,Median Annual Earnings (Euro),35598
Louth,Male,2018,Mean Annual Earnings (Euro),44445
Louth,Male,2018,Median Annual Earnings (Euro),36630
Louth,Female,2011,Mean Annual Earnings (Euro),31460
Louth,Female,2011,Median Annual Earnings (Euro),27149
Louth,Female,2012,Mean Annual Earnings (Euro),30724
Louth,Female,2012,Median Annual Earnings (Euro),26250
Louth,Female,2013,Mean Annual Earnings (Euro),31767
Louth,Female,2013,Median Annual Earnings (Euro),27576
Louth,Female,2014,Mean Annual Earnings (Euro),31974
Louth,Female,2014,Median Annual Earnings (Euro),28133
Louth,Female,2015,Mean Annual Earnings (Euro),32485
Louth,Female,2015,Median Annual Earnings (Euro),28646
Louth,Female,2016,Mean Annual Earnings (Euro),32459
Louth,Female,2016,Median Annual Earnings (Euro),28874
Louth,Female,2017,Mean Annual Earnings (Euro),33042
Louth,Female,2017,Median Annual Earnings (Euro),28977
Louth,Female,2018,Mean Annual Earnings (Euro),34130
Louth,Female,2018,Median Annual Earnings (Euro),29918
Meath,Both sexes,2011,Mean Annual Earnings (Euro),41128
Meath,Both sexes,2011,Median Annual Earnings (Euro),35000
Meath,Both sexes,2012,Mean Annual Earnings (Euro),40968
Meath,Both sexes,2012,Median Annual Earnings (Euro),34648
Meath,Both sexes,2013,Mean Annual Earnings (Euro),41262
Meath,Both sexes,2013,Median Annual Earnings (Euro),34919
Meath,Both sexes,2014,Mean Annual Earnings (Euro),41550
Meath,Both sexes,2014,Median Annual Earnings (Euro),35100
Meath,Both sexes,2015,Mean Annual Earnings (Euro),42195
Meath,Both sexes,2015,Median Annual Earnings (Euro),35200
Meath,Both sexes,2016,Mean Annual Earnings (Euro),42974
Meath,Both sexes,2016,Median Annual Earnings (Euro),35637
Meath,Both sexes,2017,Mean Annual Earnings (Euro),43942
Meath,Both sexes,2017,Median Annual Earnings (Euro),36231
Meath,Both sexes,2018,Mean Annual Earnings (Euro),45204
Meath,Both sexes,2018,Median Annual Earnings (Euro),37258
Meath,Male,2011,Mean Annual Earnings (Euro),48691
Meath,Male,2011,Median Annual Earnings (Euro),40715
Meath,Male,2012,Mean Annual Earnings (Euro),48229
Meath,Male,2012,Median Annual Earnings (Euro),39985
Meath,Male,2013,Mean Annual Earnings (Euro),48264
Meath,Male,2013,Median Annual Earnings (Euro),40106
Meath,Male,2014,Mean Annual Earnings (Euro),48537
Meath,Male,2014,Median Annual Earnings (Euro),40000
Meath,Male,2015,Mean Annual Earnings (Euro),49175
Meath,Male,2015,Median Annual Earnings (Euro),39782
Meath,Male,2016,Mean Annual Earnings (Euro),50062
Meath,Male,2016,Median Annual Earnings (Euro),40282
Meath,Male,2017,Mean Annual Earnings (Euro),51119
Meath,Male,2017,Median Annual Earnings (Euro),40788
Meath,Male,2018,Mean Annual Earnings (Euro),52482
Meath,Male,2018,Median Annual Earnings (Euro),42000
Meath,Female,2011,Mean Annual Earnings (Euro),33773
Meath,Female,2011,Median Annual Earnings (Euro),29888
Meath,Female,2012,Mean Annual Earnings (Euro),33875
Meath,Female,2012,Median Annual Earnings (Euro),30000
Meath,Female,2013,Mean Annual Earnings (Euro),34327
Meath,Female,2013,Median Annual Earnings (Euro),30404
Meath,Female,2014,Mean Annual Earnings (Euro),34463
Meath,Female,2014,Median Annual Earnings (Euro),30576
Meath,Female,2015,Mean Annual Earnings (Euro),35070
Meath,Female,2015,Median Annual Earnings (Euro),30842
Meath,Female,2016,Mean Annual Earnings (Euro),35475
Meath,Female,2016,Median Annual Earnings (Euro),31117
Meath,Female,2017,Mean Annual Earnings (Euro),36293
Meath,Female,2017,Median Annual Earnings (Euro),31630
Meath,Female,2018,Mean Annual Earnings (Euro),37507
Meath,Female,2018,Median Annual Earnings (Euro),32499
Offaly,Both sexes,2011,Mean Annual Earnings (Euro),35513
Offaly,Both sexes,2011,Median Annual Earnings (Euro),31491
Offaly,Both sexes,2012,Mean Annual Earnings (Euro),35585
Offaly,Both sexes,2012,Median Annual Earnings (Euro),31483
Offaly,Both sexes,2013,Mean Annual Earnings (Euro),35875
Offaly,Both sexes,2013,Median Annual Earnings (Euro),31726
Offaly,Both sexes,2014,Mean Annual Earnings (Euro),36261
Offaly,Both sexes,2014,Median Annual Earnings (Euro),31957
Offaly,Both sexes,2015,Mean Annual Earnings (Euro),36471
Offaly,Both sexes,2015,Median Annual Earnings (Euro),32010
Offaly,Both sexes,2016,Mean Annual Earnings (Euro),36327
Offaly,Both sexes,2016,Median Annual Earnings (Euro),31838
Offaly,Both sexes,2017,Mean Annual Earnings (Euro),37017
Offaly,Both sexes,2017,Median Annual Earnings (Euro),32454
Offaly,Both sexes,2018,Mean Annual Earnings (Euro),38249
Offaly,Both sexes,2018,Median Annual Earnings (Euro),33403
Offaly,Male,2011,Mean Annual Earnings (Euro),39875
Offaly,Male,2011,Median Annual Earnings (Euro),34985
Offaly,Male,2012,Mean Annual Earnings (Euro),39844
Offaly,Male,2012,Median Annual Earnings (Euro),34571
Offaly,Male,2013,Mean Annual Earnings (Euro),40187
Offaly,Male,2013,Median Annual Earnings (Euro),35000
Offaly,Male,2014,Mean Annual Earnings (Euro),40377
Offaly,Male,2014,Median Annual Earnings (Euro),34744
Offaly,Male,2015,Mean Annual Earnings (Euro),40501
Offaly,Male,2015,Median Annual Earnings (Euro),34465
Offaly,Male,2016,Mean Annual Earnings (Euro),40197
Offaly,Male,2016,Median Annual Earnings (Euro),34260
Offaly,Male,2017,Mean Annual Earnings (Euro),41050
Offaly,Male,2017,Median Annual Earnings (Euro),34714
Offaly,Male,2018,Mean Annual Earnings (Euro),42421
Offaly,Male,2018,Median Annual Earnings (Euro),36056
Offaly,Female,2011,Mean Annual Earnings (Euro),31292
Offaly,Female,2011,Median Annual Earnings (Euro),27806
Offaly,Female,2012,Mean Annual Earnings (Euro),31486
Offaly,Female,2012,Median Annual Earnings (Euro),28049
Offaly,Female,2013,Mean Annual Earnings (Euro),31691
Offaly,Female,2013,Median Annual Earnings (Euro),28614
Offaly,Female,2014,Mean Annual Earnings (Euro),32069
Offaly,Female,2014,Median Annual Earnings (Euro),29146
Offaly,Female,2015,Mean Annual Earnings (Euro),32359
Offaly,Female,2015,Median Annual Earnings (Euro),29032
Offaly,Female,2016,Mean Annual Earnings (Euro),32261
