County,Type of School,Year,Statistic,Value
South Dublin,Second level education institutions aided by the Department of Education and Skills,2013,Schools providing Second Level Education  (Number),35
South Dublin,Second level education institutions aided by the Department of Education and Skills,2013,Pupils receiving Second Level Education (Number),20800
South Dublin,Second level education institutions aided by the Department of Education and Skills,2014,Schools providing Second Level Education  (Number),35
South Dublin,Second level education institutions aided by the Department of Education and Skills,2014,Pupils receiving Second Level Education (Number),21416
South Dublin,Second level education institutions aided by the Department of Education and Skills,2015,Schools providing Second Level Education  (Number),36
South Dublin,Second level education institutions aided by the Department of Education and Skills,2015,Pupils receiving Second Level Education (Number),21952
South Dublin,Second level education institutions aided by the Department of Education and Skills,2016,Schools providing Second Level Education  (Number),36
South Dublin,Second level education institutions aided by the Department of Education and Skills,2016,Pupils receiving Second Level Education (Number),22272
South Dublin,Second level education institutions aided by the Department of Education and Skills,2017,Schools providing Second Level Education  (Number),38
South Dublin,Second level education institutions aided by the Department of Education and Skills,2017,Pupils receiving Second Level Education (Number),21616
South Dublin,Second level education institutions aided by the Department of Education and Skills,2018,Schools providing Second Level Education  (Number),38
South Dublin,Second level education institutions aided by the Department of Education and Skills,2018,Pupils receiving Second Level Education (Number),22077
South Dublin,Second level education institutions aided by the Department of Education and Skills,2019,Schools providing Second Level Education  (Number),39
South Dublin,Second level education institutions aided by the Department of Education and Skills,2019,Pupils receiving Second Level Education (Number),22414
South Dublin,Second level education institutions aided by the Department of Education and Skills,2020,Schools providing Second Level Education  (Number),39
South Dublin,Second level education institutions aided by the Department of Education and Skills,2020,Pupils receiving Second Level Education (Number),22991
South Dublin,Secondary schools,2000,Schools providing Second Level Education  (Number),14
South Dublin,Secondary schools,2000,Pupils receiving Second Level Education (Number),8778
South Dublin,Secondary schools,2001,Schools providing Second Level Education  (Number),15
South Dublin,Secondary schools,2001,Pupils receiving Second Level Education (Number),8625
South Dublin,Secondary schools,2002,Schools providing Second Level Education  (Number),15
South Dublin,Secondary schools,2002,Pupils receiving Second Level Education (Number),8900
South Dublin,Secondary schools,2003,Schools providing Second Level Education  (Number),19
South Dublin,Secondary schools,2003,Pupils receiving Second Level Education (Number),9540
South Dublin,Secondary schools,2004,Schools providing Second Level Education  (Number),20
South Dublin,Secondary schools,2004,Pupils receiving Second Level Education (Number),9707
South Dublin,Secondary schools,2005,Schools providing Second Level Education  (Number),20
South Dublin,Secondary schools,2005,Pupils receiving Second Level Education (Number),9557
South Dublin,Secondary schools,2006,Schools providing Second Level Education  (Number),20
South Dublin,Secondary schools,2006,Pupils receiving Second Level Education (Number),9597
South Dublin,Secondary schools,2007,Schools providing Second Level Education  (Number),21
South Dublin,Secondary schools,2007,Pupils receiving Second Level Education (Number),10342
South Dublin,Secondary schools,2008,Schools providing Second Level Education  (Number),20
South Dublin,Secondary schools,2008,Pupils receiving Second Level Education (Number),10320
South Dublin,Secondary schools,2009,Schools providing Second Level Education  (Number),20
South Dublin,Secondary schools,2009,Pupils receiving Second Level Education (Number),10336
South Dublin,Secondary schools,2010,Schools providing Second Level Education  (Number),14
South Dublin,Secondary schools,2010,Pupils receiving Second Level Education (Number),8573
South Dublin,Secondary schools,2011,Schools providing Second Level Education  (Number),14
South Dublin,Secondary schools,2011,Pupils receiving Second Level Education (Number),8576
South Dublin,Secondary schools,2012,Schools providing Second Level Education  (Number),14
South Dublin,Secondary schools,2012,Pupils receiving Second Level Education (Number),8682
South Dublin,Secondary schools,2013,Schools providing Second Level Education  (Number),14
South Dublin,Secondary schools,2013,Pupils receiving Second Level Education (Number),8640
South Dublin,Secondary schools,2014,Schools providing Second Level Education  (Number),14
South Dublin,Secondary schools,2014,Pupils receiving Second Level Education (Number),8721
South Dublin,Secondary schools,2015,Schools providing Second Level Education  (Number),14
South Dublin,Secondary schools,2015,Pupils receiving Second Level Education (Number),8798
South Dublin,Secondary schools,2016,Schools providing Second Level Education  (Number),14
South Dublin,Secondary schools,2016,Pupils receiving Second Level Education (Number),8706
South Dublin,Secondary schools,2017,Schools providing Second Level Education  (Number),15
South Dublin,Secondary schools,2017,Pupils receiving Second Level Education (Number),8740
South Dublin,Secondary schools,2018,Schools providing Second Level Education  (Number),14
South Dublin,Secondary schools,2018,Pupils receiving Second Level Education (Number),8708
South Dublin,Secondary schools,2019,Schools providing Second Level Education  (Number),15
South Dublin,Secondary schools,2019,Pupils receiving Second Level Education (Number),8702
South Dublin,Secondary schools,2020,Schools providing Second Level Education  (Number),15
South Dublin,Secondary schools,2020,Pupils receiving Second Level Education (Number),8771
South Dublin,Vocational schools,2000,Schools providing Second Level Education  (Number),11
South Dublin,Vocational schools,2000,Pupils receiving Second Level Education (Number),6075
South Dublin,Vocational schools,2001,Schools providing Second Level Education  (Number),11
South Dublin,Vocational schools,2001,Pupils receiving Second Level Education (Number),5836
South Dublin,Vocational schools,2002,Schools providing Second Level Education  (Number),11
South Dublin,Vocational schools,2002,Pupils receiving Second Level Education (Number),5562
South Dublin,Vocational schools,2003,Schools providing Second Level Education  (Number),11
South Dublin,Vocational schools,2003,Pupils receiving Second Level Education (Number),5360
South Dublin,Vocational schools,2004,Schools providing Second Level Education  (Number),11
South Dublin,Vocational schools,2004,Pupils receiving Second Level Education (Number),5328
South Dublin,Vocational schools,2005,Schools providing Second Level Education  (Number),12
South Dublin,Vocational schools,2005,Pupils receiving Second Level Education (Number),5947
South Dublin,Vocational schools,2006,Schools providing Second Level Education  (Number),12
South Dublin,Vocational schools,2006,Pupils receiving Second Level Education (Number),5827
South Dublin,Vocational schools,2007,Schools providing Second Level Education  (Number),12
South Dublin,Vocational schools,2007,Pupils receiving Second Level Education (Number),5873
South Dublin,Vocational schools,2008,Schools providing Second Level Education  (Number),12
South Dublin,Vocational schools,2008,Pupils receiving Second Level Education (Number),5837
South Dublin,Vocational schools,2009,Schools providing Second Level Education  (Number),12
South Dublin,Vocational schools,2009,Pupils receiving Second Level Education (Number),5907
South Dublin,Vocational schools,2010,Schools providing Second Level Education  (Number),13
South Dublin,Vocational schools,2010,Pupils receiving Second Level Education (Number),6207
South Dublin,Vocational schools,2011,Schools providing Second Level Education  (Number),13
South Dublin,Vocational schools,2011,Pupils receiving Second Level Education (Number),6437
South Dublin,Vocational schools,2012,Schools providing Second Level Education  (Number),13
South Dublin,Vocational schools,2012,Pupils receiving Second Level Education (Number),6615
South Dublin,Vocational schools,2013,Schools providing Second Level Education  (Number),13
South Dublin,Vocational schools,2013,Pupils receiving Second Level Education (Number),6787
South Dublin,Vocational schools,2014,Schools providing Second Level Education  (Number),13
South Dublin,Vocational schools,2014,Pupils receiving Second Level Education (Number),7163
South Dublin,Vocational schools,2015,Schools providing Second Level Education  (Number),14
South Dublin,Vocational schools,2015,Pupils receiving Second Level Education (Number),7532
South Dublin,Vocational schools,2016,Schools providing Second Level Education  (Number),14
South Dublin,Vocational schools,2016,Pupils receiving Second Level Education (Number),7850
South Dublin,Vocational schools,2017,Schools providing Second Level Education  (Number),15
South Dublin,Vocational schools,2017,Pupils receiving Second Level Education (Number),7062
South Dublin,Vocational schools,2018,Schools providing Second Level Education  (Number),16
South Dublin,Vocational schools,2018,Pupils receiving Second Level Education (Number),7475
South Dublin,Vocational schools,2019,Schools providing Second Level Education  (Number),16
South Dublin,Vocational schools,2019,Pupils receiving Second Level Education (Number),7844
South Dublin,Vocational schools,2020,Schools providing Second Level Education  (Number),16
South Dublin,Vocational schools,2020,Pupils receiving Second Level Education (Number),8320
South Dublin,Community schools,2000,Schools providing Second Level Education  (Number),7
South Dublin,Community schools,2000,Pupils receiving Second Level Education (Number),5092
South Dublin,Community schools,2001,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2001,Pupils receiving Second Level Education (Number),4932
South Dublin,Community schools,2002,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2002,Pupils receiving Second Level Education (Number),4840
South Dublin,Community schools,2003,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2003,Pupils receiving Second Level Education (Number),4908
South Dublin,Community schools,2004,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2004,Pupils receiving Second Level Education (Number),4940
South Dublin,Community schools,2005,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2005,Pupils receiving Second Level Education (Number),4887
South Dublin,Community schools,2006,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2006,Pupils receiving Second Level Education (Number),4818
South Dublin,Community schools,2007,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2007,Pupils receiving Second Level Education (Number),4776
South Dublin,Community schools,2008,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2008,Pupils receiving Second Level Education (Number),4792
South Dublin,Community schools,2009,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2009,Pupils receiving Second Level Education (Number),4850
South Dublin,Community schools,2010,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2010,Pupils receiving Second Level Education (Number),4998
South Dublin,Community schools,2011,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2011,Pupils receiving Second Level Education (Number),5105
South Dublin,Community schools,2012,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2012,Pupils receiving Second Level Education (Number),5258
South Dublin,Community schools,2013,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2013,Pupils receiving Second Level Education (Number),5373
South Dublin,Community schools,2014,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2014,Pupils receiving Second Level Education (Number),5532
South Dublin,Community schools,2015,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2015,Pupils receiving Second Level Education (Number),5622
South Dublin,Community schools,2016,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2016,Pupils receiving Second Level Education (Number),5716
South Dublin,Community schools,2017,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2017,Pupils receiving Second Level Education (Number),5814
South Dublin,Community schools,2018,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2018,Pupils receiving Second Level Education (Number),5894
South Dublin,Community schools,2019,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2019,Pupils receiving Second Level Education (Number),5868
South Dublin,Community schools,2020,Schools providing Second Level Education  (Number),8
South Dublin,Community schools,2020,Pupils receiving Second Level Education (Number),5900
South Dublin,Comprehensive schools,2000,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2000,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2001,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2001,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2002,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2002,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2003,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2003,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2004,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2004,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2005,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2005,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2006,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2006,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2007,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2007,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2008,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2008,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2009,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2009,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2010,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2010,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2011,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2011,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2012,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2012,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2013,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2013,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2014,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2014,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2015,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2015,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2016,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2016,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2017,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2017,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2018,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2018,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2019,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2019,Pupils receiving Second Level Education (Number),n/a
South Dublin,Comprehensive schools,2020,Schools providing Second Level Education  (Number),n/a
South Dublin,Comprehensive schools,2020,Pupils receiving Second Level Education (Number),n/a
Fingal,Second level education institutions aided by the Department of Education and Skills,2000,Schools providing Second Level Education  (Number),25
Fingal,Second level education institutions aided by the Department of Education and Skills,2000,Pupils receiving Second Level Education (Number),15880
Fingal,Second level education institutions aided by the Department of Education and Skills,2001,Schools providing Second Level Education  (Number),24
Fingal,Second level education institutions aided by the Department of Education and Skills,2001,Pupils receiving Second Level Education (Number),15082
Fingal,Second level education institutions aided by the Department of Education and Skills,2002,Schools providing Second Level Education  (Number),26
Fingal,Second level education institutions aided by the Department of Education and Skills,2002,Pupils receiving Second Level Education (Number),15611
Fingal,Second level education institutions aided by the Department of Education and Skills,2003,Schools providing Second Level Education  (Number),27
Fingal,Second level education institutions aided by the Department of Education and Skills,2003,Pupils receiving Second Level Education (Number),16602
Fingal,Second level education institutions aided by the Department of Education and Skills,2004,Schools providing Second Level Education  (Number),28
Fingal,Second level education institutions aided by the Department of Education and Skills,2004,Pupils receiving Second Level Education (Number),16980
Fingal,Second level education institutions aided by the Department of Education and Skills,2005,Schools providing Second Level Education  (Number),28
Fingal,Second level education institutions aided by the Department of Education and Skills,2005,Pupils receiving Second Level Education (Number),17098
Fingal,Second level education institutions aided by the Department of Education and Skills,2006,Schools providing Second Level Education  (Number),27
Fingal,Second level education institutions aided by the Department of Education and Skills,2006,Pupils receiving Second Level Education (Number),16694
Fingal,Second level education institutions aided by the Department of Education and Skills,2007,Schools providing Second Level Education  (Number),26
Fingal,Second level education institutions aided by the Department of Education and Skills,2007,Pupils receiving Second Level Education (Number),16381
Fingal,Second level education institutions aided by the Department of Education and Skills,2008,Schools providing Second Level Education  (Number),26
Fingal,Second level education institutions aided by the Department of Education and Skills,2008,Pupils receiving Second Level Education (Number),16508
Fingal,Second level education institutions aided by the Department of Education and Skills,2009,Schools providing Second Level Education  (Number),28
Fingal,Second level education institutions aided by the Department of Education and Skills,2009,Pupils receiving Second Level Education (Number),16778
Fingal,Second level education institutions aided by the Department of Education and Skills,2010,Schools providing Second Level Education  (Number),28
Fingal,Second level education institutions aided by the Department of Education and Skills,2010,Pupils receiving Second Level Education (Number),16311
Fingal,Second level education institutions aided by the Department of Education and Skills,2011,Schools providing Second Level Education  (Number),28
Fingal,Second level education institutions aided by the Department of Education and Skills,2011,Pupils receiving Second Level Education (Number),16750
Fingal,Second level education institutions aided by the Department of Education and Skills,2012,Schools providing Second Level Education  (Number),28
Fingal,Second level education institutions aided by the Department of Education and Skills,2012,Pupils receiving Second Level Education (Number),17390
Fingal,Second level education institutions aided by the Department of Education and Skills,2013,Schools providing Second Level Education  (Number),28
Fingal,Second level education institutions aided by the Department of Education and Skills,2013,Pupils receiving Second Level Education (Number),17979
Fingal,Second level education institutions aided by the Department of Education and Skills,2014,Schools providing Second Level Education  (Number),29
Fingal,Second level education institutions aided by the Department of Education and Skills,2014,Pupils receiving Second Level Education (Number),18836
Fingal,Second level education institutions aided by the Department of Education and Skills,2015,Schools providing Second Level Education  (Number),32
Fingal,Second level education institutions aided by the Department of Education and Skills,2015,Pupils receiving Second Level Education (Number),19759
Fingal,Second level education institutions aided by the Department of Education and Skills,2016,Schools providing Second Level Education  (Number),32
Fingal,Second level education institutions aided by the Department of Education and Skills,2016,Pupils receiving Second Level Education (Number),20567
Fingal,Second level education institutions aided by the Department of Education and Skills,2017,Schools providing Second Level Education  (Number),32
Fingal,Second level education institutions aided by the Department of Education and Skills,2017,Pupils receiving Second Level Education (Number),21558
Fingal,Second level education institutions aided by the Department of Education and Skills,2018,Schools providing Second Level Education  (Number),33
Fingal,Second level education institutions aided by the Department of Education and Skills,2018,Pupils receiving Second Level Education (Number),22076
Fingal,Second level education institutions aided by the Department of Education and Skills,2019,Schools providing Second Level Education  (Number),36
Fingal,Second level education institutions aided by the Department of Education and Skills,2019,Pupils receiving Second Level Education (Number),22959
Fingal,Second level education institutions aided by the Department of Education and Skills,2020,Schools providing Second Level Education  (Number),37
Fingal,Second level education institutions aided by the Department of Education and Skills,2020,Pupils receiving Second Level Education (Number),24011
Fingal,Secondary schools,2000,Schools providing Second Level Education  (Number),13
Fingal,Secondary schools,2000,Pupils receiving Second Level Education (Number),6594
Fingal,Secondary schools,2001,Schools providing Second Level Education  (Number),12
Fingal,Secondary schools,2001,Pupils receiving Second Level Education (Number),5888
Fingal,Secondary schools,2002,Schools providing Second Level Education  (Number),13
Fingal,Secondary schools,2002,Pupils receiving Second Level Education (Number),6453
Fingal,Secondary schools,2003,Schools providing Second Level Education  (Number),14
Fingal,Secondary schools,2003,Pupils receiving Second Level Education (Number),7403
Fingal,Secondary schools,2004,Schools providing Second Level Education  (Number),15
Fingal,Secondary schools,2004,Pupils receiving Second Level Education (Number),7641
Fingal,Secondary schools,2005,Schools providing Second Level Education  (Number),15
Fingal,Secondary schools,2005,Pupils receiving Second Level Education (Number),7610
Fingal,Secondary schools,2006,Schools providing Second Level Education  (Number),14
Fingal,Secondary schools,2006,Pupils receiving Second Level Education (Number),7190
Fingal,Secondary schools,2007,Schools providing Second Level Education  (Number),13
Fingal,Secondary schools,2007,Pupils receiving Second Level Education (Number),6827
Fingal,Secondary schools,2008,Schools providing Second Level Education  (Number),13
Fingal,Secondary schools,2008,Pupils receiving Second Level Education (Number),6837
Fingal,Secondary schools,2009,Schools providing Second Level Education  (Number),13
Fingal,Secondary schools,2009,Pupils receiving Second Level Education (Number),6949
Fingal,Secondary schools,2010,Schools providing Second Level Education  (Number),11
Fingal,Secondary schools,2010,Pupils receiving Second Level Education (Number),6125
Fingal,Secondary schools,2011,Schools providing Second Level Education  (Number),11
Fingal,Secondary schools,2011,Pupils receiving Second Level Education (Number),6106
Fingal,Secondary schools,2012,Schools providing Second Level Education  (Number),11
Fingal,Secondary schools,2012,Pupils receiving Second Level Education (Number),6232
Fingal,Secondary schools,2013,Schools providing Second Level Education  (Number),11
Fingal,Secondary schools,2013,Pupils receiving Second Level Education (Number),6326
Fingal,Secondary schools,2014,Schools providing Second Level Education  (Number),11
Fingal,Secondary schools,2014,Pupils receiving Second Level Education (Number),6375
Fingal,Secondary schools,2015,Schools providing Second Level Education  (Number),14
Fingal,Secondary schools,2015,Pupils receiving Second Level Education (Number),6731
Fingal,Secondary schools,2016,Schools providing Second Level Education  (Number),14
Fingal,Secondary schools,2016,Pupils receiving Second Level Education (Number),7029
Fingal,Secondary schools,2017,Schools providing Second Level Education  (Number),14
Fingal,Secondary schools,2017,Pupils receiving Second Level Education (Number),7392
Fingal,Secondary schools,2018,Schools providing Second Level Education  (Number),15
Fingal,Secondary schools,2018,Pupils receiving Second Level Education (Number),7796
Fingal,Secondary schools,2019,Schools providing Second Level Education  (Number),17
Fingal,Secondary schools,2019,Pupils receiving Second Level Education (Number),8407
Fingal,Secondary schools,2020,Schools providing Second Level Education  (Number),18
Fingal,Secondary schools,2020,Pupils receiving Second Level Education (Number),9144
Fingal,Vocational schools,2000,Schools providing Second Level Education  (Number),6
Fingal,Vocational schools,2000,Pupils receiving Second Level Education (Number),3971
Fingal,Vocational schools,2001,Schools providing Second Level Education  (Number),6
Fingal,Vocational schools,2001,Pupils receiving Second Level Education (Number),4018
Fingal,Vocational schools,2002,Schools providing Second Level Education  (Number),7
Fingal,Vocational schools,2002,Pupils receiving Second Level Education (Number),4065
Fingal,Vocational schools,2003,Schools providing Second Level Education  (Number),7
Fingal,Vocational schools,2003,Pupils receiving Second Level Education (Number),4047
Fingal,Vocational schools,2004,Schools providing Second Level Education  (Number),7
Fingal,Vocational schools,2004,Pupils receiving Second Level Education (Number),4107
Fingal,Vocational schools,2005,Schools providing Second Level Education  (Number),7
Fingal,Vocational schools,2005,Pupils receiving Second Level Education (Number),4183
Fingal,Vocational schools,2006,Schools providing Second Level Education  (Number),7
Fingal,Vocational schools,2006,Pupils receiving Second Level Education (Number),4230
Fingal,Vocational schools,2007,Schools providing Second Level Education  (Number),7
Fingal,Vocational schools,2007,Pupils receiving Second Level Education (Number),4274
Fingal,Vocational schools,2008,Schools providing Second Level Education  (Number),7
Fingal,Vocational schools,2008,Pupils receiving Second Level Education (Number),4383
Fingal,Vocational schools,2009,Schools providing Second Level Education  (Number),9
Fingal,Vocational schools,2009,Pupils receiving Second Level Education (Number),4587
Fingal,Vocational schools,2010,Schools providing Second Level Education  (Number),11
Fingal,Vocational schools,2010,Pupils receiving Second Level Education (Number),4934
Fingal,Vocational schools,2011,Schools providing Second Level Education  (Number),11
Fingal,Vocational schools,2011,Pupils receiving Second Level Education (Number),5411
Fingal,Vocational schools,2012,Schools providing Second Level Education  (Number),11
Fingal,Vocational schools,2012,Pupils receiving Second Level Education (Number),5868
Fingal,Vocational schools,2013,Schools providing Second Level Education  (Number),11
Fingal,Vocational schools,2013,Pupils receiving Second Level Education (Number),6333
Fingal,Vocational schools,2014,Schools providing Second Level Education  (Number),12
Fingal,Vocational schools,2014,Pupils receiving Second Level Education (Number),7040
Fingal,Vocational schools,2015,Schools providing Second Level Education  (Number),12
Fingal,Vocational schools,2015,Pupils receiving Second Level Education (Number),7513
Fingal,Vocational schools,2016,Schools providing Second Level Education  (Number),12
Fingal,Vocational schools,2016,Pupils receiving Second Level Education (Number),7987
Fingal,Vocational schools,2017,Schools providing Second Level Education  (Number),12
Fingal,Vocational schools,2017,Pupils receiving Second Level Education (Number),8556
Fingal,Vocational schools,2018,Schools providing Second Level Education  (Number),12
Fingal,Vocational schools,2018,Pupils receiving Second Level Education (Number),8743
Fingal,Vocational schools,2019,Schools providing Second Level Education  (Number),13
Fingal,Vocational schools,2019,Pupils receiving Second Level Education (Number),8980
Fingal,Vocational schools,2020,Schools providing Second Level Education  (Number),13
Fingal,Vocational schools,2020,Pupils receiving Second Level Education (Number),9362
Fingal,Community schools,2000,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2000,Pupils receiving Second Level Education (Number),5315
Fingal,Community schools,2001,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2001,Pupils receiving Second Level Education (Number),5176
Fingal,Community schools,2002,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2002,Pupils receiving Second Level Education (Number),5093
Fingal,Community schools,2003,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2003,Pupils receiving Second Level Education (Number),5152
Fingal,Community schools,2004,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2004,Pupils receiving Second Level Education (Number),5232
Fingal,Community schools,2005,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2005,Pupils receiving Second Level Education (Number),5305
Fingal,Community schools,2006,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2006,Pupils receiving Second Level Education (Number),5274
Fingal,Community schools,2007,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2007,Pupils receiving Second Level Education (Number),5280
Fingal,Community schools,2008,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2008,Pupils receiving Second Level Education (Number),5288
Fingal,Community schools,2009,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2009,Pupils receiving Second Level Education (Number),5242
Fingal,Community schools,2010,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2010,Pupils receiving Second Level Education (Number),5252
Fingal,Community schools,2011,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2011,Pupils receiving Second Level Education (Number),5233
Fingal,Community schools,2012,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2012,Pupils receiving Second Level Education (Number),5290
Fingal,Community schools,2013,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2013,Pupils receiving Second Level Education (Number),5320
Fingal,Community schools,2014,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2014,Pupils receiving Second Level Education (Number),5421
Fingal,Community schools,2015,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2015,Pupils receiving Second Level Education (Number),5515
Fingal,Community schools,2016,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2016,Pupils receiving Second Level Education (Number),5551
Fingal,Community schools,2017,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2017,Pupils receiving Second Level Education (Number),5610
Fingal,Community schools,2018,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2018,Pupils receiving Second Level Education (Number),5537
Fingal,Community schools,2019,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2019,Pupils receiving Second Level Education (Number),5572
Fingal,Community schools,2020,Schools providing Second Level Education  (Number),6
Fingal,Community schools,2020,Pupils receiving Second Level Education (Number),5505
Fingal,Comprehensive schools,2000,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2000,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2001,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2001,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2002,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2002,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2003,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2003,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2004,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2004,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2005,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2005,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2006,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2006,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2007,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2007,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2008,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2008,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2009,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2009,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2010,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2010,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2011,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2011,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2012,Schools providing Second Level Education  (Number),n/a
Fingal,Comprehensive schools,2012,Pupils receiving Second Level Education (Number),n/a
Fingal,Comprehensive schools,2013,Schools providing Second Level Education  (Number),n/a
